,Correlation,AbsCorrelation
Solar_Vol,-0.6117299964194698,0.6117299964194698
Load,0.6018351797741012,0.6018351797741012
shortwave_radiation,-0.5945454230950108,0.5945454230950108
temperature_2m,-0.5482291818834903,0.5482291818834903
apparent_temperature,-0.5231431978683369,0.5231431978683369
direct_normal_irradiance,-0.5174858648724358,0.5174858648724358
diffuse_radiation,-0.49940191738102463,0.49940191738102463
Flow_NO,0.4949832565560703,0.4949832565560703
yearday_cos,0.3891942512801458,0.3891942512801458
Flow_GB,0.37570365800517463,0.37570365800517463
month,-0.3733425563790853,0.3733425563790853
day_of_year,-0.3707860155241132,0.3707860155241132
is_dst,-0.36180221694700415,0.36180221694700415
Wind_Vol,-0.3168460241998216,0.3168460241998216
Nuclear_Vol,0.26234576038856416,0.26234576038856416
yearday_sin,-0.257269970028788,0.257269970028788
wind_speed_10m,-0.23803873498859565,0.23803873498859565
is_non_working_day,-0.21212348602013134,0.21212348602013134
hour_cos,0.20943185187987254,0.20943185187987254
is_weekend,-0.18578863843003945,0.18578863843003945
cloud_cover,0.16185028804531437,0.16185028804531437
day_of_week,-0.15752800697875244,0.15752800697875244
weekday_sin,0.1546290959601637,0.1546290959601637
WindOffshore_Vol,-0.15152391487574576,0.15152391487574576
hour,0.14450220549202078,0.14450220549202078
hour_sin,-0.1279178292394326,0.1279178292394326
is_holiday,-0.12199599667322561,0.12199599667322561
Total_Flow,0.10860121924400232,0.10860121924400232
Flow_BE,-0.09350203572182873,0.09350203572182873
weekday_cos,-0.059683018971166284,0.059683018971166284
Flow_DE,-0.04070293711037653,0.04070293711037653
Flow_DK,0.014381064022847407,0.014381064022847407
snowfall,,
