Model,Forecast Horizon,Mean RMSE,Std RMSE
Naive,2.0,0.039173,0.016753
Naive,3.0,0.039647,0.016219
Naive,4.0,0.039341,0.016521
Naive,5.0,0.038812,0.016448
Naive,6.0,0.038569,0.016391
Naive,7.0,0.037621,0.016483
Oxygent,2.0,0.06446,0.038133
Oxygent,3.0,0.073671,0.038
Oxygent,4.0,0.070366,0.032472
Oxygent,5.0,0.070438,0.035206
Oxygent,6.0,0.066996,0.036204
Oxygent,7.0,0.065536,0.03091
Random Forest,2.0,0.033477,0.012227
Random Forest,3.0,0.033409,0.012013
Random Forest,4.0,0.033708,0.012873
Random Forest,5.0,0.032351,0.013266
Random Forest,6.0,0.031221,0.013159
Random Forest,7.0,0.032996,0.014699
