,Model,Scenario,Window Start,Model Cost (€),True Block Cost (€),Cost Diff (€),Overlap (hrs),RMSE
0,Random Forest,Weekly,2025-03-16 01:00:00+00:00,5.25,4.78,0.47,0,0.01097
1,Oxygent,Weekly,2025-03-16 01:00:00+00:00,6.14,4.78,1.36,0,0.07085
2,Naive,Weekly,2025-03-16 01:00:00+00:00,5.25,4.78,0.47,0,0.00881
3,Random Forest,Weekly,2025-03-23 01:00:00+00:00,6.82,5.99,0.84,0,0.05519
4,Oxygent,Weekly,2025-03-23 01:00:00+00:00,6.06,5.99,0.07,0,0.08873
5,Naive,Weekly,2025-03-23 01:00:00+00:00,4.92,5.99,-1.07,0,0.02426
6,Random Forest,Weekly,2025-03-30 01:00:00+00:00,3.7,3.7,0.0,0,0.02857
7,Oxygent,Weekly,2025-03-30 01:00:00+00:00,4.04,3.7,0.34,0,0.15489
8,Naive,Weekly,2025-03-30 01:00:00+00:00,5.19,3.7,1.49,0,0.02674
9,Random Forest,Weekly,2025-04-06 01:00:00+00:00,4.46,3.52,0.94,0,0.02364
10,Oxygent,Weekly,2025-04-06 01:00:00+00:00,5.13,3.52,1.61,0,0.10338
11,Naive,Weekly,2025-04-06 01:00:00+00:00,4.46,3.52,0.94,0,0.03168
12,Random Forest,Weekly,2025-04-13 01:00:00+00:00,5.27,4.26,1.01,3,0.01979
13,Oxygent,Weekly,2025-04-13 01:00:00+00:00,5.27,4.26,1.01,0,0.25511
14,Naive,Weekly,2025-04-13 01:00:00+00:00,4.26,4.26,0.0,4,0.03245
